,line_num,og_line_num,article_id,title,date,page,newspaper_id,newspaper_title,category,words,illustrated,edition,supplement,section,url,page_url,snippet,relevance,status,corrections,last_corrected,tags,comments,lists,text,pdf,images,placenames
999,1096,23430,146777376,CURIOUS CREDULITY. A GHOST IN THE MUDGEE DISTRICT,1887-03-25,3,731,"Maryborough Chronicle, Wide Bay and Burnett Advertiser (Qld. : 1860 - 1947)",Article,278,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article146777376,https://nla.gov.au/nla.news-page17589160,"At a place called Cooyal, in the Mudgee district, a mysterious affair happens two or three evening a week. A family is living in a small hut there, the mother",138.58450317382812,Empty,0,Empty,0,0,0,text/18870325-731-146777376.txt,Empty,Empty,None
1000,1097,23441,146781491,MINING BY SPIRITUALISM.,1887-03-26,3,731,"Maryborough Chronicle, Wide Bay and Burnett Advertiser (Qld. : 1860 - 1947)",Article,1648,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article146781491,https://nla.gov.au/nla.news-page17589164,"It has long been a standing joke amongst a section of Gympie residents, that certain mines there have for some years past been carried on by boards of",1.455862522125244,Empty,0,Empty,0,0,0,text/18870326-731-146781491.txt,Empty,Empty,"Gympie, Pepper, Widdop, Brisbane, Beinhold, Beinhold, Enoggera"
1001,1098,23463,146792817,SEA-SIDE YARNS. A PIALBA GHOST.,1888-12-22,4,731,"Maryborough Chronicle, Wide Bay and Burnett Advertiser (Qld. : 1860 - 1947)",Article,1908,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article146792817,https://nla.gov.au/nla.news-page17591528,"""COME, Bill! It's your turn to-night,"" said big Jem Elson as the stretched his limbs by the ro[?]ng fire which we had lighted at our camp, one beautiful winter",159.5625,Empty,0,Empty,0,0,0,text/18881222-731-146792817.txt,Empty,Empty,"Pialba, Dundalhu, Incredulity"
1002,1099,23481,146803018,GHOST STORIES. THIRD STORY.,1885-08-28,1 S,715,The Narracoorte Herald (SA : 1875 - 1954),Article,1696,N,Empty,SUPPLEMENT TO The Narracoorte Herald,Empty,https://nla.gov.au/nla.news-article146803018,https://nla.gov.au/nla.news-page17349530,"A LABORER, an his way homeward about nightfall, was passing along the outskirts of a little village, when his ear was assailed by repeated groans,",185.75991821289065,Empty,0,Empty,0,0,0,text/18850828-715-146803018.txt,Empty,Empty,"Pilgrim, Imrsad, Heaven"
1003,1102,23605,146835742,CONVICT DAYS IN VAN DIEMAN'S LAND. TRUE CHRONICLES. [ALL RIGHTS RESERVED.] NO. 6. THE GHOST OF DEADMAN'S ISLE.,1891-07-16,2,715,The Narracoorte Herald (SA : 1875 - 1954),Article,2786,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article146835742,https://nla.gov.au/nla.news-page17361114,"It has been said that British history is enshrined in Westminter Abbey and Saint Pauls. The great men, ho sleep beneath their marble tablets in these venerable",85.2532958984375,Empty,5,2019-11-28T14:31:15Z,0,4,0,text/18910716-715-146835742.txt,Empty,Empty,"BRITISH, GOTHIC, PORT, PORT ARTHUR,  OCEAN, PORT ARTHUR, FRANCE, HOLLAND, ENGLAND, TREMAYNE, HULL, LAND, RISDON, HOBART TOWN, PENFOLD, PORT ARTHUR, LAND, GULLIVER, PORT, PORT ARTHUR, FRENCH, FRENCH, FRENCH, MALAHIDE"
1004,1103,23606,146835800,CONVICT DAYS IN VAN DIEMAN'S LAND. TRUE CHRONICLES. [ALL RIGHTS RESERVED.] NO. 7. LAYING THE PHANTOM.,1891-07-23,2,715,The Narracoorte Herald (SA : 1875 - 1954),Article,2717,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article146835800,https://nla.gov.au/nla.news-page17361124,"Superintendent Eyre listened attentively nest morning to the report of the young officers, regarding the vision they had seen on the island cemetery. He did not believe, for",11.45794677734375,Empty,15,2019-11-29T12:30:55Z,0,2,0,text/18910723-715-146835800.txt,Empty,Empty,"TRENCH, SATAN, , ENGLAND, GREEVES, TRENCH, PENFOLD, NO, ARGUS, ARGUS, GREEVES, PENFOLD, GREAT, TRENCH, TRENCH"
1005,1104,23651,146871016,AN UP TO DATE GHOST STORY. AN EXTRAORDINARY EXPERIENCE NEAR LIVERPOOL.,1891-09-12,5,731,"Maryborough Chronicle, Wide Bay and Burnett Advertiser (Qld. : 1860 - 1947)",Article,995,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article146871016,https://nla.gov.au/nla.news-page17579483,"""HAVING, been concerned in a most remark able and altogether inexplicable adventure the other evening, which happened to me in Thomas Lane, Knotty Ash, I have been included, at the",116.07583618164062,Empty,0,Empty,0,0,0,text/18910912-731-146871016.txt,Empty,Empty,"Thomas Ijario, Ijltieish"
1006,1105,23654,146873180,THE STORYTELLER. THE PROPERTY-MASTER'S GHOST.,1891-02-28,5,731,"Maryborough Chronicle, Wide Bay and Burnett Advertiser (Qld. : 1860 - 1947)",Article,2251,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article146873180,https://nla.gov.au/nla.news-page17578753,"JOE PINDER, properly. master of the Theatre Regal was a poet. not that he was any the less a property-master, for a more conscientious and hard-working",159.16297912597656,Empty,0,Empty,0,0,0,text/18910228-731-146873180.txt,Empty,Empty,"Im, Btanzin, Pinder, Jjaud, Ihe, Eogland, Piuder, Utterance"
1007,1106,23673,146879398,"RAISING THE SECLARLAN GHOST. LONDON, JUNE 19.",1892-06-21,2,731,"Maryborough Chronicle, Wide Bay and Burnett Advertiser (Qld. : 1860 - 1947)",Article,130,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article146879398,https://nla.gov.au/nla.news-page17580532,Mr. Gladstone and Sir Edward Guinnes were at the Ragers House meeting of the leading Nonconfermiets on Saturday. The former denied calling the Proi[?]atant,148.77764892578125,Empty,0,Empty,0,0,0,text/18920621-731-146879398.txt,Empty,Empty,"KnUliiu, TreUnd"
1008,1107,23691,146885749,A BICYCLIST'S GHOST.,1892-10-29,6,731,"Maryborough Chronicle, Wide Bay and Burnett Advertiser (Qld. : 1860 - 1947)",Article,2166,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article146885749,https://nla.gov.au/nla.news-page17581020,"A GROUP of cyclists were seated round the fire in the comfortable inn of Ponty-Pridd, in North Wales. Their talk was of thrilling experiences on the wheel, and,",204.11387634277344,Empty,0,Empty,0,0,0,text/18921029-731-146885749.txt,Empty,Empty,"Mophis, Hiepaslde, Ills, Ihe, Wick, Ijfpe, Diok, Qreen Street, Ibe, Ulasnevin"
