Unnamed: 0,line_num,og_line_num,article_id,title,date,page,newspaper_id,newspaper_title,category,words,illustrated,edition,supplement,section,url,page_url,snippet,relevance,status,corrections,last_corrected,tags,comments,lists,text,pdf,images,placenames,latitude,longitude
2999,3264,74593,252636948,POET'S CORNER. SONG OF THE DEPARTING SPIRIT OF TITHE.,1833-02-09,4,1468,"The Currency Lad (Sydney, NSW : 1832-1833)",Article,709,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252636948,https://nla.gov.au/nla.news-page27937974,"'It is o'er, it is o'er, my reign is o'er; I heard a Voice, like that of yore, Which-over the earth its wailings spread, Crying aloud, ""Great Pan is dead!""--",8.67287540435791,Empty,0,Empty,0,0,0,text/18330209-1468-252636948.txt,Empty,Empty,"Crying, Baltimore, Ye, Calvin, Tape, Israel, Citation, Libel, Wig, Sipping, Port, Hereford, Enaian, Tithes, Tithes, Ireland",-33.48177012,149.784505
3000,3265,74595,252637063,AMERICAN GHOST STORY.,1833-02-16,4,1468,"The Currency Lad (Sydney, NSW : 1832-1833)",Article,5038,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252637063,https://nla.gov.au/nla.news-page27937978,"Who is she that standeth at the open window, shaded by the spreading branches of the old tree, which hath long since disappeared from the hallowed spot, modestly",203.5559539794922,Empty,1,2023-10-14T10:18:39Z,0,0,0,text/18330216-1468-252637063.txt,Empty,Empty," MIRROR, MARIAN, HERMAN, MARIAN, MARIAN, SAUL, ENDOR, BRITISH, MARIAN, MARIAN, WHIT, MARIAN, MARIAN, WHIT, MARIAN, BRITISH, SCOTLAND, IRELAND, SCOTLAND, SELKIRK, PARIS, BREST, FRANCE, SCARBOROUGH, SERAPIS, GRUBB, SERAPIS, SERAPIS, SERAPIS, ENGLISH, GERMAN, WELLINGTON, ENGLISH, NAVDRIN, TURKS, SPITHEAD, PRINTED, AUSTRALIAN, GAZETTE OFFICE, SYDNEY",-31.77,115.7383333
3001,3266,74599,252637926,A SCENE FROM HAMLET. ENTER GHOST OF THE LATE PREMIER AND HIS SON CHARLES.,1864-10-01,2,1464,Sydney Punch (NSW : 1864 - 1888),Article,1373,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252637926,https://nla.gov.au/nla.news-page28007425,"CHARLES: Where wilt thou lead me? Speak, I'll go no further. GHOST: Mark me. CHARLES: I will.",100.00738525390624,Empty,0,Empty,0,0,0,text/18641001-1464-252637926.txt,Empty,Empty,"Opposition, Tricoplicrous, Tories, Weekes, Uncoated, Keep, Sydney, My, Than",-32.564423,151.167977
3002,3267,74603,252638043,A CONTRIBUTION BY POPE'S GHOST.,1864-10-29,1,1464,Sydney Punch (NSW : 1864 - 1888),Article,960,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252638043,https://nla.gov.au/nla.news-page28007456,"FRIEND : BUT once a week, old boy, you show in print, And when you come, the mob see nothing in't. No lying slanders in your pages shine, To grace with pungent circumstance each line;",170.6238250732422,Empty,5,2019-06-18T07:40:58Z,2,0,0,text/18641029-1464-252638043.txt,Empty,Empty,"Herald, Can, Punch, Punch, State, Australia",-21.49036,115.2247
3003,3268,74611,252639058,THE GHOST AT THE HEBREW BALL.,1865-07-01,8,1464,Sydney Punch (NSW : 1864 - 1888),Article,13,Y,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252639058,https://nla.gov.au/nla.news-page28007756,EXTRAORDINARY SPIRITUAL MANIFESTATION AT 4 A.M,159.8411407470703,Empty,0,Empty,0,0,0,text/18650701-1464-252639058.txt,Empty,Empty,,Empty,Empty
3004,3269,74614,252639184,"BRUTUS AND THE GHOST. BRUTUS.--MR. SMART. BOY.--MR. WELLS, HIS ACCOUNTANT. GHOST.--MR. EAGAR.",1865-07-08,4,1464,Sydney Punch (NSW : 1864 - 1888),Article,407,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252639184,https://nla.gov.au/nla.news-page28007760,"Smart.--Bear with me, WELLS, I'm dreadfully forgetful, Can you hold up your heavy head awhile And sing a song or two? Wells.--Ay, my lord, an' it please you.",152.09658813476562,Empty,0,Empty,0,0,0,text/18650708-1464-252639184.txt,Empty,Empty,"BRUTUS, Vaeea, Et, Stamp Act, Geoff",-34.93123,137.29807
3005,3270,74615,252639185,BRUTUS AND THE GHOST.,1865-07-08,5,1464,Sydney Punch (NSW : 1864 - 1888),Article,31,Y,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252639185,https://nla.gov.au/nla.news-page28007761,"Brutus.--Mr. SMA--T. Ghost.--Mr. EAG--R. Brutus.--ART THOU A GOD, AN ANGEL, OR A DEVIL? Ghost.--I AM THY EVIL SPIRIT.",185.5912322998047,Empty,0,Empty,0,0,0,text/18650708-1464-252639185.txt,Empty,Empty,"BRUTUS, Angel",-34.93123,137.29807
3006,3271,74618,252639595,"MISANTHROPIC MUTTERINGS. NO. 7. SPIRITS IN SYDNEY, AND NO MISTAKE!",1865-08-26,3,1464,Sydney Punch (NSW : 1864 - 1888),Article,1450,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252639595,https://nla.gov.au/nla.news-page28007815,"DEAR PUNCH,-- I have made a discovery--an extraordinary discovery--a most important discovery--a discovery which will, I doubt not, astound and alarm Australia; it is important, inasmuch as it may, by its",6.29595947265625,Empty,0,Empty,0,0,0,text/18650826-1464-252639595.txt,Empty,Empty,"AUSTRALIA,  HEMISPHERE",-38.36500018,142.216948
3007,3272,74623,252650241,ORIGINAL POETRY. THE SPIRIT OF THE CREEK!,1832-09-14,3,1462,"Hill's Life in New South Wales (Sydney, NSW : 1832)",Article,591,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252650241,https://nla.gov.au/nla.news-page28018495,"AN AUSTRALIAN TALE, founded on the Murder at Campbell Town, of a Sheriff's Bailiff, named F. ""-- Blood will have blood:",31.71038818359375,Empty,3,2019-03-23T23:48:08Z,5,0,0,text/18320914-1462-252650241.txt,Empty,Empty,"Augurs, Exhausted, Was, Falvonis, Falvonis, Nor, Rush, Fredro",-18.816666666666666,139.03333333333333
3008,3273,74647,252748628,A. GHOST EPISODE.,1893-04-22,4,1368,"The Cumberland Mercury (Parramatta, NSW : 1875 - 1895)",Article,168,N,Empty,Empty,Empty,https://nla.gov.au/nla.news-article252748628,https://nla.gov.au/nla.news-page28113001,A ghost appeared on the Baulkham Hills road a  few evenings ago to a love-sink pair returning from Parramatta. The girl attempted to faint and was only,203.712142944336,Empty,0,Empty,0,0,0,text/18930422-1368-252748628.txt,Empty,Empty,"Parramatta, Association",-33.815,151.0011111
