Unnamed: 0,id,trove_api_url,trove_url,trove_page_url,trove_pdf_url,heading,title,trove_title_url,trove_api_title_url,identifier,date,page,page_sequence,page_label,supplement,section,edition,spatial,illustrated,extent,type,abstract,placenames,NOTES
2,91156303,https://api.trove.nla.gov.au/v3/newspaper/91156303,https://nla.gov.au/nla.news-article91156303,https://nla.gov.au/nla.news-page8322601,https://trove.nla.gov.au/ndp/imageservice/nla.news-page8322601/print,"THE ""GHOST.""",Launceston Examiner (Tas. : 1842 - 1899),https://nla.gov.au/nla.news-title74,https://api.trove.nla.gov.au/v3/newspaper/title/74,18368204;issn,1896-07-13,6,6,,,,,Tasmania,N,136 words,Article,"The senseless individual who for weeks past has been acting ""the ghost"" in and around the city has not yet been captured, notwithstanding the","Launceston, Tas",Seems to be a human that the police want to arrest but is pretty darn scary and phantom sounding.
9,200374186,https://api.trove.nla.gov.au/v3/newspaper/200374186,https://nla.gov.au/nla.news-article200374186,https://nla.gov.au/nla.news-page22161692,https://trove.nla.gov.au/ndp/imageservice/nla.news-page22161692/print,A GHOST.,"The Tasmanian Tribune (Hobart Town, Tas. : 1872 - 1876)",https://nla.gov.au/nla.news-title950,https://api.trove.nla.gov.au/v3/newspaper/title/950,22046321;issn,1873-08-19,2,2,,,,,Tasmania,N,237 words,Article,"The Melbourne correspondent of the Bendigo Advertiser says.--""A story comes to my knowledge which borders on the mysterious, but perhaps the","Fitzroy, Vic",
10,233681395,https://api.trove.nla.gov.au/v3/newspaper/233681395,https://nla.gov.au/nla.news-article233681395,https://nla.gov.au/nla.news-page25335901,https://trove.nla.gov.au/ndp/imageservice/nla.news-page25335901/print,GHOST STORIES.,"Weekly Examiner (Launceston, Tas. : 1872 - 1878)",https://nla.gov.au/nla.news-title1266,https://api.trove.nla.gov.au/v3/newspaper/title/1266,22068538;issn,1878-06-15,14,14,,,,,Tasmania,N,353 words,Article,"An extraordinary story is related to the Melbourne Herald, which, writes that journal, may give some comfort to believers in ghosts, if not to anyone else.","Melbourne, Vic & Sandhurst, Vic",
15,153489530,https://api.trove.nla.gov.au/v3/newspaper/153489530,https://nla.gov.au/nla.news-article153489530,https://nla.gov.au/nla.news-page18384463,https://trove.nla.gov.au/ndp/imageservice/nla.news-page18384463/print,PLAYING GHOST.,"Daily Telegraph (Launceston, Tas. : 1883 - 1928)",https://nla.gov.au/nla.news-title742,https://api.trove.nla.gov.au/v3/newspaper/title/742,22029117;issn,1896-06-03,3,3,,,,,Tasmania,N,67 words,Article,"HOBART, TUESDAY.—Playing at ghost is still being indulged in by some thoughtless individual, much to the discomfiture of women and children, several of whom have","Hobart, Tas",
19,177544436,https://api.trove.nla.gov.au/v3/newspaper/177544436,https://nla.gov.au/nla.news-article177544436,https://nla.gov.au/nla.news-page20124737,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20124737/print,PLAYING THE GHOST.,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,22037098;issn,1896-06-02,2,2 S,,,,THIRD EDITION,Tasmania,N,2 words,Article,THERE is still some sentences individual playing the ghost—this come in the vicinity of the descries burial ground of St. Andrew's on Trinity Hall The,"St. Andrews Church, Hobart, Tas","A man ""playing the ghost"" but also referred to as ""an apparition""."
20,177554724,https://api.trove.nla.gov.au/v3/newspaper/177554724,https://nla.gov.au/nla.news-article177554724,https://nla.gov.au/nla.news-page20125349,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20125349/print,ANOTHER GHOST STORY.,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,22037098;issn,1896-11-23,2,2 S,,,,THIRD EDITION,Tasmania,N,456 words,Article,"THE Rev. Arthur Clay Ly wood of Hiton, sends the following story of a vision to the Daily Telegraph, which ought to [?] eat the members of the Psychical","Brighton, Vic","The Reverend is telling his own story of a ghost encounter in the UK, but he's doing so in reference to a ghost in Brighton, Vic."
23,153507587,https://api.trove.nla.gov.au/v3/newspaper/153507587,https://nla.gov.au/nla.news-article153507587,https://nla.gov.au/nla.news-page18384629,https://trove.nla.gov.au/ndp/imageservice/nla.news-page18384629/print,THE GHOST SCARE.,"Daily Telegraph (Launceston, Tas. : 1883 - 1928)",https://nla.gov.au/nla.news-title742,https://api.trove.nla.gov.au/v3/newspaper/title/742,22029117;issn,1896-07-14,3,3,,,,,Tasmania,N,78 words,Article,"HOBART, MONDAY.— The ghost scare is still rampant, Last night a man named Mulligan is sald to have encountered the apparition in the shape of an overgrown","Hobart, Tas",
29,150273378,https://api.trove.nla.gov.au/v3/newspaper/150273378,https://nla.gov.au/nla.news-article150273378,https://nla.gov.au/nla.news-page18411392,https://trove.nla.gov.au/ndp/imageservice/nla.news-page18411392/print,THE BEACONSFIELD GHOST.,"Daily Telegraph (Launceston, Tas. : 1883 - 1928)",https://nla.gov.au/nla.news-title742,https://api.trove.nla.gov.au/v3/newspaper/title/742,22029117;issn,1888-08-16,3,3,,,,,Tasmania,N,205 words,Article,"SIR,—Will you kindly allow space for a few remarks on the above subject, viz., the ghost. This individual, who is either a fool or villain, or, perhaps, a mixture of","Beaconsfield, Tas",
30,185245134,https://api.trove.nla.gov.au/v3/newspaper/185245134,https://nla.gov.au/nla.news-article185245134,https://nla.gov.au/nla.news-page20126439,https://trove.nla.gov.au/ndp/imageservice/nla.news-page20126439/print,THE GHOST SOARE.,"Tasmanian News (Hobart, Tas. : 1883 - 1911)",https://nla.gov.au/nla.news-title866,https://api.trove.nla.gov.au/v3/newspaper/title/866,22037098;issn,1/09/1900,4,4 S,,,,THIRD EDITION,Tasmania,N,43 words,Article,"A ghost has made his appearance at Latrobe and frightened several people. SORELL — In [?] doings, cables","Latrobe, Tas",
36,79699030,https://api.trove.nla.gov.au/v3/newspaper/79699030,https://nla.gov.au/nla.news-article79699030,https://nla.gov.au/nla.news-page8286658,https://trove.nla.gov.au/ndp/imageservice/nla.news-page8286658/print,GHOST IN LAUNCESTON,Zeehan and Dundas Herald (Tas. : 1890 - 1922),https://nla.gov.au/nla.news-title270,https://api.trove.nla.gov.au/v3/newspaper/title/270,18397158;issn,1894-09-28,4,4,,,,,Tasmania,N,443 words,Article,"Between 8 and 9 o'clock last Monday evening great commotion was caused in upper Charles-street, Launceston, by the appearance of a ghost at one of the ","Launceston, Tas","Charles St, Opposite the General Hospital"
